DateTime,actual,linear_regression,random_forest
2010-02-11,0.9512277777777778,1.237,1.498
2010-02-12,1.3145819444444444,1.206,1.257
2010-02-13,1.633025,1.49,1.562
2010-02-14,1.1721320361362058,1.443,1.706
2010-02-15,1.4563416666666666,1.129,1.34
2010-02-16,1.2484416666666667,1.324,1.322
2010-02-17,1.4267777777777777,1.218,1.277
2010-02-18,1.223025,1.14,1.148
2010-02-19,1.3566472222222221,1.224,1.284
2010-02-20,1.377588888888889,1.459,1.504
2010-02-21,1.9029958333333332,1.356,1.454
2010-02-22,1.0236361111111112,1.289,1.32
2010-02-23,1.0147777777777778,1.202,1.31
2010-02-24,1.3293597222222222,1.176,1.32
2010-02-25,1.3056972222222223,1.131,1.263
2010-02-26,1.4723305555555555,1.238,1.277
2010-02-27,1.2257333333333333,1.469,1.681
2010-02-28,0.49421250000000005,1.355,1.435
2010-03-01,0.9018944444444444,0.919,0.675
2010-03-02,0.5325736111111111,1.158,1.034
2010-03-03,0.6498847222222222,1.042,0.744
2010-03-04,0.4742222222222222,0.931,0.896
2010-03-05,0.7873097222222223,0.958,0.898
2010-03-06,0.5518833333333333,1.172,0.96
2010-03-07,0.9531055555555555,0.975,1.049
2010-03-08,1.7757625,0.872,1.115
2010-03-09,1.2223000000000002,1.241,1.329
2010-03-10,1.2657166666666666,1.13,1.183
2010-03-11,1.3549236111111111,1.058,1.027
2010-03-12,1.1426555555555555,1.238,1.14
2010-03-13,1.6548680555555555,1.381,1.443
2010-03-14,1.0879958333333333,1.501,1.503
2010-03-15,1.2443402777777777,1.174,1.295
2010-03-16,1.0712847222222224,1.309,1.259
2010-03-17,1.3952291666666665,1.242,1.266
2010-03-18,1.0851958333333334,1.224,1.232
2010-03-19,1.1551277777777778,1.23,1.168
2010-03-20,0.5678103448275862,1.457,1.481
2010-03-21,1.4771046698872787,1.165,1.005
2010-03-22,1.1240208333333332,1.166,1.057
2010-03-23,1.265390277777778,1.22,1.056
2010-03-24,1.3852444444444445,1.257,1.197
2010-03-25,1.166586111111111,1.165,1.112
2010-03-26,1.146725,1.223,1.174
2010-03-27,1.2833125,1.376,1.451
2010-03-28,1.2487597222222222,1.413,1.355
2010-03-29,1.126901388888889,1.137,1.095
2010-03-30,1.3239263888888888,1.266,1.235
2010-03-31,1.3359736111111111,1.3,1.237
2010-04-01,1.1718333333333333,1.045,1.125
2010-04-02,1.1448763888888889,1.108,1.16
2010-04-03,1.2536652777777777,1.293,1.428
2010-04-04,1.1738805555555556,1.242,1.3
2010-04-05,0.7769583333333333,0.975,1.061
2010-04-06,1.267952777777778,1.024,1.08
2010-04-07,1.1090152777777778,1.117,1.202
2010-04-08,1.1452916666666666,0.956,1.047
2010-04-09,0.8564930555555554,1.064,1.095
2010-04-10,0.8265333333333333,1.172,1.233
2010-04-11,1.1138359972202918,1.067,1.089
2010-04-12,0.9996013888888888,0.874,0.963
2010-04-13,1.0504888888888888,1.032,1.035
2010-04-14,1.1530305555555556,1.004,1.018
2010-04-15,1.3001236111111112,0.928,1.018
2010-04-16,1.0847652777777776,1.058,1.036
2010-04-17,1.0817444444444444,1.203,1.214
2010-04-18,1.0250736111111112,1.155,1.202
2010-04-19,1.186523611111111,0.893,1.005
2010-04-20,1.2733527777777778,1.093,1.027
2010-04-21,1.0971625,1.108,1.129
2010-04-22,1.0145166666666667,0.967,1.106
2010-04-23,0.8198166666666667,1.025,1.081
2010-04-24,1.0544569444444443,1.152,1.117
2010-04-25,1.071348611111111,1.129,1.124
2010-04-26,0.751886111111111,0.904,1.014
2010-04-27,0.8687083333333334,0.962,0.977
2010-04-28,0.6026791666666667,0.94,1.002
2010-04-29,0.7664749999999999,0.745,0.77
2010-04-30,0.776825,0.864,0.784
2010-05-01,0.9167763888888888,1.069,0.929
2010-05-02,1.5193819444444443,1.022,0.931
2010-05-03,0.9800708333333332,0.931,0.909
2010-05-04,1.0534444444444444,0.972,0.876
2010-05-05,1.253686111111111,0.965,0.903
2010-05-06,0.9022569444444445,0.947,0.934
2010-05-07,1.1416694444444444,0.974,0.997
2010-05-08,1.0648763888888888,1.24,1.26
2010-05-09,1.0878541666666666,1.184,1.198
2010-05-10,1.0193694444444446,0.904,0.948
2010-05-11,1.0912277777777777,1.044,0.986
2010-05-12,1.4134847222222222,1.051,1.076
2010-05-13,1.0788714384989577,1.013,1.013
2010-05-14,1.1959347222222223,1.057,1.081
2010-05-15,1.3505361111111112,1.269,1.318
2010-05-16,1.4586291666666666,1.247,1.285
2010-05-17,1.1306819444444445,1.048,1.089
2010-05-18,0.9869333333333333,1.13,1.137
2010-05-19,0.9908,1.086,1.243
2010-05-20,0.8013180555555555,0.946,1.118
2010-05-21,0.898886111111111,0.995,1.063
2010-05-22,1.4553972222222222,1.196,1.217
2010-05-23,1.033025,1.263,1.201
2010-05-24,0.9314805555555556,0.889,1.004
2010-05-25,0.8323791666666667,0.999,0.957
2010-05-26,0.9638083333333334,0.947,1.01
2010-05-27,0.9189875000000001,0.863,0.92
2010-05-28,0.9709472222222222,0.965,1.008
2010-05-29,1.4234777777777778,1.193,1.168
2010-05-30,1.1567361111111112,1.204,1.078
2010-05-31,0.9308763888888889,0.903,0.951
2010-06-01,0.8812249999999999,0.943,0.944
2010-06-02,0.6811791666666667,0.919,0.984
2010-06-03,0.9681847222222222,0.752,0.949
2010-06-04,0.9864958333333333,0.926,1.05
2010-06-05,1.3955861111111112,1.138,1.183
2010-06-06,1.21305,1.146,1.102
2010-06-07,0.7028347222222222,0.856,0.944
2010-06-08,0.9458569444444446,0.874,0.956
2010-06-09,1.065751388888889,0.903,0.931
2010-06-10,0.8438819444444445,0.86,0.956
2010-06-11,1.0213,0.904,1.04
2010-06-12,1.371166087560806,1.152,1.173
2010-06-13,1.1627472222222222,1.151,1.1
2010-06-14,0.8458222222222221,0.837,0.93
2010-06-15,0.8499763888888888,0.931,1.004
2010-06-16,1.2278416666666667,0.912,1.03
2010-06-17,0.7139013888888889,0.894,0.945
2010-06-18,0.9252194444444445,0.877,1.019
2010-06-19,0.9834861111111112,1.124,1.122
2010-06-20,1.1614930555555556,1.036,1.188
2010-06-21,1.1533958333333334,0.823,0.915
2010-06-22,1.055963888888889,0.987,0.942
2010-06-23,1.0014333333333334,0.971,1.014
2010-06-24,0.7609583333333333,0.819,0.929
2010-06-25,0.7634986111111112,0.876,1.017
2010-06-26,0.6816805555555555,1.057,1.031
2010-06-27,0.7916416666666666,0.958,1.01
2010-06-28,1.021763888888889,0.726,0.865
2010-06-29,0.9501709520500348,0.92,0.867
2010-06-30,0.9612055555555555,0.874,0.833
2010-07-01,0.9368069444444445,0.69,0.79
2010-07-02,0.7923111111111112,0.795,0.81
2010-07-03,0.7778291666666667,0.944,0.849
2010-07-04,1.0681166666666666,0.877,0.845
2010-07-05,0.7736041666666666,0.731,0.914
2010-07-06,0.6985652777777778,0.796,0.825
2010-07-07,0.5797138888888889,0.746,0.774
2010-07-08,0.8421194444444444,0.594,0.73
2010-07-09,0.7524152777777778,0.746,0.745
2010-07-10,0.8017388888888888,0.908,0.813
2010-07-11,0.8288694444444445,0.861,0.807
2010-07-12,0.7705375000000001,0.602,0.742
2010-07-13,0.9598013888888889,0.735,0.737
2010-07-14,0.9788,0.766,0.754
2010-07-15,1.134928422515636,0.698,0.795
2010-07-16,0.5694833333333333,0.847,0.823
2010-07-17,0.5599666666666666,0.893,0.777
2010-07-18,0.5639152777777778,0.807,0.739
2010-07-19,0.5563597222222222,0.553,0.726
2010-07-20,0.5943222222222222,0.7,0.72
2010-07-21,0.7390041666666666,0.671,0.708
2010-07-22,0.8086430555555555,0.596,0.701
2010-07-23,0.8167763888888888,0.671,0.706
2010-07-24,0.6400472222222222,0.87,0.79
2010-07-25,0.7850069444444445,0.76,0.758
2010-07-26,0.6139930555555555,0.565,0.757
2010-07-27,0.6613611111111111,0.68,0.713
2010-07-28,0.5990652777777777,0.68,0.753
2010-07-29,0.38132222222222223,0.558,0.722
2010-07-30,0.38281944444444443,0.588,0.447
2010-07-31,0.38515,0.744,0.43
2010-08-01,0.38587777777777776,0.628,0.415
2010-08-02,0.38158472222222223,0.361,0.433
2010-08-03,0.42723055555555556,0.501,0.404
2010-08-04,0.37733055555555556,0.477,0.57
2010-08-05,0.37046944444444446,0.339,0.497
2010-08-06,0.36440694444444444,0.439,0.495
2010-08-07,0.36630277777777775,0.622,0.511
2010-08-08,0.3669861111111111,0.549,0.532
2010-08-09,0.3715722222222222,0.308,0.501
2010-08-10,0.3783041666666667,0.462,0.448
2010-08-11,0.3763902777777777,0.438,0.489
2010-08-12,0.3678458333333333,0.332,0.505
2010-08-13,0.37103749999999996,0.432,0.503
2010-08-14,0.3849097222222222,0.618,0.503
2010-08-15,0.7333236111111112,0.549,0.525
2010-08-16,0.7845347222222222,0.41,0.715
2010-08-17,0.775120443740095,0.593,0.696
2010-08-18,0.7429095128868128,0.59,0.692
2010-08-19,0.7106985820335306,0.495,0.711
2010-08-20,0.6784876511802485,0.606,0.717
2010-08-21,0.6462767203269664,0.8,0.794
2010-08-22,0.6140657894736842,0.749,0.796
2010-08-23,0.5317069444444444,0.499,0.725
2010-08-24,0.5020472222222222,0.617,0.688
2010-08-25,0.6808388888888889,0.574,0.61
2010-08-26,0.5258694444444444,0.507,0.686
2010-08-27,1.4101736111111112,0.562,0.63
2010-08-28,1.0019833333333332,0.989,0.931
2010-08-29,1.1586666666666667,0.836,0.856
2010-08-30,1.0380569444444443,0.657,0.794
2010-08-31,0.9479902777777778,0.802,0.831
2010-09-01,1.1064708333333333,0.966,0.935
2010-09-02,0.9670083333333334,0.913,0.938
2010-09-03,0.9350097222222222,1.045,1.12
2010-09-04,1.2109999999999999,1.181,1.138
2010-09-05,0.9187625,1.19,1.138
2010-09-06,0.9881083333333334,0.865,0.97
2010-09-07,1.0082319444444445,1.025,0.977
2010-09-08,0.9054249999999999,1.019,1.008
2010-09-09,0.8602180555555555,0.874,0.956
2010-09-10,0.9222972222222222,0.958,1.021
2010-09-11,1.0161875,1.171,1.104
2010-09-12,1.1195083333333333,1.096,1.133
2010-09-13,0.7474444444444444,0.894,0.958
2010-09-14,0.993526388888889,0.947,0.963
2010-09-15,0.6847875,0.978,0.985
2010-09-16,0.9303736111111112,0.788,0.902
2010-09-17,1.0400055555555556,0.954,0.929
2010-09-18,0.8666291666666666,1.175,1.097
2010-09-19,0.6386111111111111,1.059,1.007
2010-09-20,1.1686333333333334,0.725,0.851
2010-09-21,0.7717888888888889,1.032,0.929
2010-09-22,1.0488847222222222,0.893,0.852
2010-09-23,1.0068486111111112,0.883,0.929
2010-09-24,0.9222166666666667,0.984,1.05
2010-09-25,0.4491779661016949,1.135,0.976
2010-09-26,0.8458236382605957,0.92,0.768
2010-09-27,1.2424693104194964,0.809,0.916
2010-09-28,1.6391149825783973,1.037,0.885
2010-09-29,1.1697402777777777,1.165,1.014
2010-09-30,0.8668597222222222,0.955,0.974
2010-10-01,1.045013888888889,0.997,1.053
2010-10-02,1.3355930555555555,1.208,1.227
2010-10-03,1.2713083333333333,1.265,1.297
2010-10-04,1.2333055555555557,1.051,1.106
2010-10-05,1.2879333333333334,1.211,1.294
2010-10-06,0.913511111111111,1.163,1.155
2010-10-07,1.2569124999999999,0.944,1.032
2010-10-08,1.0489277777777777,1.154,1.144
2010-10-09,1.1192916666666666,1.305,1.324
2010-10-10,1.3881277777777778,1.234,1.331
2010-10-11,1.126798611111111,1.062,1.051
2010-10-12,1.0970083333333334,1.148,1.245
2010-10-13,1.4401986111111111,1.093,1.059
2010-10-14,1.482723611111111,1.112,1.194
2010-10-15,1.1085583333333333,1.225,1.134
2010-10-16,0.6944541666666667,1.329,1.382
2010-10-17,0.7273486111111112,1.15,1.291
2010-10-18,1.8846416666666668,0.874,0.983
2010-10-19,1.3374847222222224,1.331,1.133
2010-10-20,1.199975,1.21,1.227
2010-10-21,0.9411097222222223,1.064,1.298
2010-10-22,1.1589527777777777,1.061,1.099
2010-10-23,1.592525,1.28,1.458
2010-10-24,1.661256428075052,1.354,1.309
2010-10-25,0.8078416666666666,1.232,1.317
2010-10-26,0.6568777777777778,1.103,1.164
2010-10-27,0.8751930555555556,1.007,0.881
2010-10-28,1.0161986111111112,0.926,1.057
2010-10-29,0.8364041666666667,1.074,1.13
2010-10-30,1.4949305555555554,1.223,1.028
2010-10-31,1.025298611111111,1.302,1.065
2010-11-01,0.9605416666666667,0.992,1.113
2010-11-02,0.8271402777777779,1.128,1.106
2010-11-03,0.8981236111111112,1.094,1.152
2010-11-04,1.7744069444444446,1.014,1.12
2010-11-05,1.2056166666666666,1.35,1.211
2010-11-06,1.2537555555555555,1.452,1.545
2010-11-07,1.1623722222222221,1.356,1.415
2010-11-08,1.2677361111111112,1.099,1.132
2010-11-09,1.4042347222222222,1.283,1.158
2010-11-10,1.3517597222222224,1.326,1.15
2010-11-11,1.231661111111111,1.273,1.328
2010-11-12,1.2755708333333333,1.293,1.199
2010-11-13,1.4049819444444445,1.494,1.375
2010-11-14,1.41555,1.454,1.462
2010-11-15,1.2134597222222223,1.235,1.252
2010-11-16,1.0484361111111111,1.342,1.336
2010-11-17,1.0986333333333334,1.262,1.305
2010-11-18,1.1473277777777777,1.152,1.24
2010-11-19,1.0905555555555557,1.263,1.259
2010-11-20,1.525698611111111,1.432,1.475
2010-11-21,0.6256319444444445,1.467,1.33
2010-11-22,1.4177333333333333,0.968,0.843
2010-11-23,1.095511111111111,1.307,1.163
2010-11-24,1.2473944444444445,1.215,1.194
2010-11-25,0.9938638888888889,1.156,1.19
2010-11-26,1.1782296120348377,1.188,1.228
